"","Name","Description","Location","Length of PC","Opening Hours","Lighting Hours","Accessibility"
"47","Paya Lebar Park Connector","Situated between Kim Chuan Road and Airport Road, Paya Lebar Park Connector serves as a convenient commuting route to the numerous industrial buildings and offices located nearby. It includes a wide shared track for both joggers and cyclists. You can enjoy dining at eateries such as Bread Talk or Sakae Sushi that can be found adjacent to the park connector. Paya Lebar Park Connector also links to the Balam Park Connector at Paya Lebar Road and the Pelton Canal Park Connector located further south.  ","Paya Lebar Park Connector starts at Kim Chuan Road and runs along Upper Paya Lebar Road before ending at the junction of Upper Paya Lebar Road and Airport Road.","0.69 km","24 hours daily","7.00pm – 7.00am","Wheelchair accessible"
"48","Buangkok Park Connector","Running along residential estates, this 1.5 km park connector is popular with a variety of users, including commuters to jogging enthusiasts. It connects to Punggol Park via the Serangoon Park Connector.","Buangkok Park Connector starts at the junction of Yio Chu Kang Road / Buangkok Green and runs along Buangkok Green before ending at Sengkang East Road","1.5 km","24 hours daily","7.00pm – 7.00am",""
"49","Bukit Batok East Park Connector","Linking Bukit Batok Town Park (Little Guilin) to the Hillview Park Connector, the Bukit Batok East Park Connector is ideal for joggers looking for a short and comfortable run. Those looking for a challenge can continue on the Hillview Park Connector all the way to Bukit Batok Nature Park to escape the busy roads and enjoy the fresh air of the nature sanctuary. ","Bukit Batok Park Connector starts at Bukit Batok East Ave 2. It runs along Bukit Batok East Ave 5 before ending at Bukit Gombak MRT.","1.5 km","24 hours daily","7.00pm – 7.00am",""
"50","Balam Park Connector","Balam Park Connector starts near the junction of Merpati Road and Circuit Road, and ends at Paya Lebar Road. Winding through the housing estates of Circuit Road along Pelton Canal, Balam Park Connector serves as a recreational corridor for the nearby residents. 
You can observe the beauty of the Rain Garden, a project by PUB, along the park connector and also enjoy a wide variety of local fare from the renowned Circuit Road Food Centre at Blk 79, which is located at the corner of Merpati Road and Circuit Road. ","Balam Park Connector starts at junction of Merpati Road and Circuit Road and runs along Pelton Canal before ending at Paya Lebar Road.","1.2 km","24 hours daily","7.00pm – 7.00am","Wheelchair accessible"
"51","Punggol Promenade Nature Walk","Visit this 2.4 km Nature Walk, the middle section of Punggol Promenade that lies between Punggol Point Walk and Riverside Walk. This area also features a number of fishing platforms and rest shelters along its meandering track - spots that are perfect for a quiet respite and for one to take in the scenic views. ","","","","",""
"52","Pandan Gardens Park Connector","Extending from West Coast Road to Ulu Pandan Park Connector Bridge, Pandan Gardens Park Connector runs through residential areas and links to the Pandan Reservoir and Pandan Reservoir Fitness Corner. It is a great place for joggers who want to enjoy a short and comfortable run or even amateur skaters looking for relatively flat terrains. Pandan Garden Park Connector also joins the Ulu Pandan Park Connector via Singapore’s first elevated Park Connector bridge (Ulu Pandan Park Connector Bridge).","Pandan Gardens Park Connector starts at West Coast Road and ends at Ulu Pandan Park Connector Bridge.","0.4km","24 hours daily","7.00pm-7.00am",""
"53","Choa Chu Kang North Park Connector","The 5.4 km Choa Chu Kang Park Connector links Choa Chu Kang Park to Bukit Batok Town Park near Bukit Gombak MRT station via the heartlands of Choa Chu Kang neighbourhood. Designed for cycling, jogging and other outdoor activities such as strolling, dog-walking and skating, it is a popular route for recreational activities for nearby residents to. Nature lovers can look forward to the 1 km scenic stretch along Brickland Road, which is decorated with lush greenery and bright and colourful flowering plants that bloom all year round. After a fulfilling workout, visitors can stop by Choa Chu Kang Central to enjoy the variety of eateries, cafes, restrooms and shopping areas available. Alternatively, fitness enthusiasts can use the sports facilities available at the Bukit Gombak stadium and sports hall, situated next to the Choa Chu Kang park connector near Bukit Gombak MRT station.","Choa Chu Kang Park Connector starts at Choa Chu Kang Drive.  It runs along Choa Chu Kang Ave 4, Ave 1, Ave 3, Brickland Rd and ends at Bukit Batok West Ave 5.","5.4km","24 hours daily","7.00pm-7.00am",""
"54","Springleaf Park Connector","Springleaf Park Connector runs from Upper Thomson Road to Lentor Avenue. Approximately 1.2km, it provides joggers a nice path for leisure jog or walk in this nature environment.","Springleaf Park Connector starts at Lentor Ave and ends at Upper Thomson Road.","1.2km",NA,NA,""
"55","Punggol Promenade Riverside Walk","The lookout points along Punggol Promenade Riverside Walk allow visitors to get closer to the adjacent Serangoon Reservoir. Linking Punggol Point to Punggol East, Punggol Promenade is a waterfront recreational destination for residents in this region and provides access to the rustic northeastern coastline. Consisting of three thematic zones – Riverside Walk, Nature Walk and Punggol Point Walk – every segment of the Punggol Promenade is unique and offers a variety of recreational experiences. There is even a cluster of food and beverage outlets at Tebing Lane, located adjacent to the riverside walk.",NA,NA,NA,NA,""
"56","Punggol Promenade Punggol Point Walk","Begin your seaside stroll at Punggol Point Park. Once a popular seafood haunt, the site adjacent to Punggol Jetty has now been transformed into an idyllic waterfront destination. While much of the Punggol coastline used to be inaccessible to the public, today’s Punggol Promenade Punggol Point Walk allows you to enjoy the greenery and biodiversity flourishing along the sea. With lookout decks, a sand-filled playground and an event plaza, the park allows you to soak in the laidback coastal atmosphere and take in views of Pulau Ubin and the Johor Straits on a ship-inspired, elevated viewing deck. You can also dine at the various food and beverage outlets near Punggol Point Park.",NA,NA,NA,NA,""
