"","Name","Location","longitude","latitude","Description","More Info","Length.of.PC","Opening.Hours","Lighting.Hours","Accessibility"
"69","Jurong West Park Connector","Jurong West Street 93","103.6937","1.337060","Extending from Boon Lay Way (across Jurong Central Park) to Jurong West Street 93, the Jurong West Park Connector links nearby residents to Jurong Central Park, Boon Lay Bus Terminal, Boon Lay MRT station and Pioneer MRT station. Running through residential estates, it is great for joggers looking for a short run around the neighbourhood and is ideal for other outdoor activities such as cycling, strolling and dog-walking.Alternatively, make your way to SAFRA Jurong, located at the end of the Jurong West Park Connector along Boon Lay Way. You may also head to the Jurong West Sports Centre where there are multiple sporting facilities you can use. After a fulfilling workout, head to Jurong Point where a variety of eateries, cafes, and shops are available. The Jurong West Park Connector forms part of the Western Adventure Loop, linking visitors to various park connectors, parks and nature reserves.","Jurong West PC starts from Boon Lay Way (across Jurong Central Park) and runs along Jurong West Street 62 and Jurong West Street 64, before ending at Jurong West street 93","2.2 km","24 hours daily","7.00pm to 7.00am",NA
"70","Jurong Park Connector","Yuan Ching Road","103.7213","1.342525","Starting from Pan-Island Expressway (PIE), near the Jurong West Street 42 estates, the Jurong Park Connector stretches across the expressway to Ayer-Rajah Expressway (AYE) and Toh Guan Road. Visitors can opt to take the route leading to Jurong East Central, which links to Ulu Pandan Park Connector near Toh Guan Road, or head towards Yuan Ching Road to reach the AYE. 
Cycle, jog or take a leisurely stroll along the linear pathway and enjoy the beauty of the lush greenery and the breath-taking scenery of the surroundings. Take in the aroma of freshly baked biscuits from the Khong Guan Factory as you pass the row of factories between Jalan Boon Lay and Enterprise Road.","Jurong Park Connector starts from Pan-Island Expressway (PIE), near the Jurong West Street 42 estates. It stretches from PIE all the way to Ayer-Rajah Expressway (AYE) and Toh Guan Road.","9.4 km","24 hours daily","7.00pm to 7.00am",NA
"71","Kallang Park Connector","Bishan St 13","103.8534","1.350420","Stretching along the Kallang River, the Kallang Park Connector links Bishan-Ang Mo Kio Park to Kallang Riverside Park where you have the chance to see foraging birds, monitor lizards and squirrels along the riverbank. It takes you through several residential estates in the Central region – Bishan, Toa Payoh, Potong Pasir, Serangoon, Bendemeer, Upper Boon Keng and Kallang. 
Enjoy the lush greenery at Kolam Ayer Waterfront, part of PUB’s Active, Beautiful, Clean Waters programme, along Kallang River. This park connector also meets Whampoa Park Connector from Bendemeer Road, providing you with easy accessibility to Toa Payoh Town Park. To facilitate connectivity and create a more seamless walking and cycling experience, URA will be carrying out infrastructure improvements along the Kallang Park Connector from Q3 2021 to Q2 2023.Improvements at other crossings (Kallang Bahru and PIE) will be implemented at a later date. For more information, please visit URA's page.","Kallang Park Connector starts at Bishan Road and runs along Kallang River before ending at Sims Ave","7.87 km","24 hours daily","7.00pm to 7.00am","Users will have to cross four overhead bridges over Braddell Road, PIE, Serangoon Road and Bendemeer Road and some non-barrier free crossing across Kallang River and road junctions. Cyclist may push or/and carry their bicycles up the bridges and steps."
"72","Kallang Park Connector","Lor 8 Toa Payoh","103.8576","1.341862","Stretching along the Kallang River, the Kallang Park Connector links Bishan-Ang Mo Kio Park to Kallang Riverside Park where you have the chance to see foraging birds, monitor lizards and squirrels along the riverbank. It takes you through several residential estates in the Central region – Bishan, Toa Payoh, Potong Pasir, Serangoon, Bendemeer, Upper Boon Keng and Kallang. 
Enjoy the lush greenery at Kolam Ayer Waterfront, part of PUB’s Active, Beautiful, Clean Waters programme, along Kallang River. This park connector also meets Whampoa Park Connector from Bendemeer Road, providing you with easy accessibility to Toa Payoh Town Park. To facilitate connectivity and create a more seamless walking and cycling experience, URA will be carrying out infrastructure improvements along the Kallang Park Connector from Q3 2021 to Q2 2023.Improvements at other crossings (Kallang Bahru and PIE) will be implemented at a later date. For more information, please visit URA's page.","Kallang Park Connector starts at Bishan Road and runs along Kallang River before ending at Sims Ave","7.87 km","24 hours daily","7.00pm to 7.00am","Users will have to cross four overhead bridges over Braddell Road, PIE, Serangoon Road and Bendemeer Road and some non-barrier free crossing across Kallang River and road junctions. Cyclist may push or/and carry their bicycles up the bridges and steps."
"73","Pelton Canal Park Connector","haracter(0","103.8814","1.322272","Pelton Canal Park Connector links Kallang Park Connector to Balam Park Connector. It runs along Pelton Canal, passing through the industrial estates of Geylang Bahru and Kallang Way as well as residential areas in Upper Boon Keng, Paya Lebar Way and Circuit Road. It includes a wide shared track for both joggers and cyclists. You can dine at popular eateries such as Upper Boon Keng Food Centre and Circuit Road Food Centre. This park connector also allows convenient access to Kallang Riverside Park and Bishan-Ang Mo Kio Park.","Balam Park Connector starts at junction of Merpati Road and Circuit Road and runs along Pelton Canal before ending at Kallang PC (Upper Boon Keng Estate).","2.52 km","24 hours daily","7.00pm to 7.00am","Users will have to cross two overhead bridges over PIE and Aljunied Road, underpass at Upper Boon Keng Road and footbridge across Pelton Canal. Cyclists may push their bicycles up the bridge instead of carrying it up. They are also advised to dismount and push when using the underpass."
"74","Pelton Canal Park Connector","Geylang Bahru underpass","103.8726","1.318145","Pelton Canal Park Connector links Kallang Park Connector to Balam Park Connector. It runs along Pelton Canal, passing through the industrial estates of Geylang Bahru and Kallang Way as well as residential areas in Upper Boon Keng, Paya Lebar Way and Circuit Road. It includes a wide shared track for both joggers and cyclists. You can dine at popular eateries such as Upper Boon Keng Food Centre and Circuit Road Food Centre. This park connector also allows convenient access to Kallang Riverside Park and Bishan-Ang Mo Kio Park.","Balam Park Connector starts at junction of Merpati Road and Circuit Road and runs along Pelton Canal before ending at Kallang PC (Upper Boon Keng Estate).","2.52 km","24 hours daily","7.00pm to 7.00am","Users will have to cross two overhead bridges over PIE and Aljunied Road, underpass at Upper Boon Keng Road and footbridge across Pelton Canal. Cyclists may push their bicycles up the bridge instead of carrying it up. They are also advised to dismount and push when using the underpass."
"75","Pasir Ris Park Connector","Pasir Ris Drive 4","103.9563","1.375599","Pasir Ris Park Connector runs along Pasir Ris Drive 3 through to several housing estates and schools in Pasir Ris before ending at the junction of Pasir Ris Drive 3 and Loyang Park Connector.","Pasir Ris Park Connector starts and runs along Pasir Ris Drive 3 before ending at the junction of Pasir Ris Drive 3 and Loyang Avenue","2.4 km","24 hours daily","7.00pm to 7.00am",NA
"76","Loyang Park Connector","Loyang Way","103.9759","1.375241","Beginning at the junction of Loyang Avenue and Pasir Ris Dr 3, the Loyang Park Connector runs along Loyang Avenue before passing by Loyang Industrial Park and the SIA Engine Test Centre and ending at Changi Village. You can rent a bicycle or a pair of in-line roller blades at the nearest available Park Connector Network Pit Stop, which is next to Changi Beach Park Car Park 7.","Loyang Park Connector starts the junction of Loyang Avenue and Pasir Ris Drive 3 and runs along Loyang Avenue, Cranwell Road and Netheravon Road before ending at Changi Village Road.","3.5 km","24 hours daily","7.00pm to 7.00am",NA
"77","Coastal Park Connector","Changi Ferry Road","104.0048","1.372934","Coastal Park Connector starts from Changi Beach Park Car Park 7 and ends at East Coast Park. This 15km park connector runs along Aviation Park Road and Tanah Merah Coast Road, alongside the future Changi Airport Runway 3 and Terminal 5.At the East Coast Park towards Coastal Park Connector next to Changi Coast Walk, you can take a leisurely stroll amidst the lush greenery whilst enjoying the cool sea breeze.The Changi Airport Connector (link: https://www.changiairport.com/en/discover/changi-airport-connector.html) is a cycling and jogging path that features the Changi Jurassic Mile. It was opened by Changi Airport, and links the airport to East Coast Park and the Park Connector Network. ","Coastal Park Connector starts from Changi Beach Park Car Park 7 and runs along Aviation Park Road and Tanah Merah Coast Road before ending at East Coast Park","15.0 km","24 hours daily","7.00pm to 7.00am",NA
"78","Tampines-Loyang Park Connector","Pasir Ris Drive 1","103.9641","1.363403","Loyang Park Connector stretches along the roads within Tampines Housing Estates and Loyang Avenue, passing under the Tampines Expressway flyover before ending at Pasir Ris Drive 3. You can continue your journey on Pasir Ris Park Connector or Loyang Park Connector.","Tampines Loyang Park Connector starts at Tampines Street 34 and runs along Tampines Ave 7 and Loyang Avenue before ending at the junction of Loyang Avenue and Pasir Ris Drive 3","1.8 km","24 hours daily","7.00pm to 7.00am",NA
"79","Bedok Park Connector","Upper Changi Road","103.9495","1.333911","Starting at Bedok Reservoir Park near Jalan Lembah Bedok, Bedok Park Connector ends at the underpass behind Bedok Camp, in the direction of East Coast Park. Here, you can enjoy scenic views of Bedok Reservoir along the park connector, which also provides an alternative route linking you to East Coast Park from Bedok Reservoir Park or vice versa. Our Park Connector Network Pit Stop at East Coast Park Area G offers you two recreational options – cycling or roller blading.  Park Connector Network Pit Stop: East Coast Park Area G1  Address: 1490 East Coast Parkway  Opening Hours:  ","Bedok Park Connector starts at Bedok Reservoir Park and runs across the PIE, Upper Changi Road, Upper Changi Road East, Bedok junction before ending at East Coast Park Area G.  ","6.0 km","24 hours daily","7.00pm to 7.00am",NA
"80","Tampines Park Connector","Tampines Avenue 9","103.9446","1.360493","Linking Bedok Reservoir Park to Pasir Ris Park, Tampines Park Connector runs along housing estates in Tampines Avenue 1 and 2, providing residents convenient access to the nearby parks. It also allows users to travel to Pasir Ris Town Park via Sungei Tampines, the natural habitat of water birds such as the Common Kingfisher.The Tampines Park Connector also runs under the viaduct of Tampines and Simei MRT stations, allowing park users to travel to Simei estate.Park Connector Network Pit Stops: ","Tampines Park Connector starts at Bedok Reservoir Road and runs along Tampines Avenue 1, Tampines Avenue 2, Tampines Ave 4, along Tampines Ave 9 and across the TPE overhead bridges, Pasir Ris Drive 1 before it ends at Pasir Ris Drive 3.","7.0 km","24 hours daily","7.00pm to 7.00am","Eastern"
"81","Tampines Park Connector","Pasir Ris Drive 3","103.9526","1.374912","Linking Bedok Reservoir Park to Pasir Ris Park, Tampines Park Connector runs along housing estates in Tampines Avenue 1 and 2, providing residents convenient access to the nearby parks. It also allows users to travel to Pasir Ris Town Park via Sungei Tampines, the natural habitat of water birds such as the Common Kingfisher.The Tampines Park Connector also runs under the viaduct of Tampines and Simei MRT stations, allowing park users to travel to Simei estate.Park Connector Network Pit Stops: ","Tampines Park Connector starts at Bedok Reservoir Road and runs along Tampines Avenue 1, Tampines Avenue 2, Tampines Ave 4, along Tampines Ave 9 and across the TPE overhead bridges, Pasir Ris Drive 1 before it ends at Pasir Ris Drive 3.","7.0 km","24 hours daily","7.00pm to 7.00am","Eastern"
"82","Siglap Park Connector","Changi Road","103.9133","1.319221","Siglap Park Connector runs partly along Siglap Canal and beside several housing estates. It also interlinks the parks in the region such as Bedok Reservoir Park, Bedok Town Park, Telok Kurau Park and East Coast Park. Park users also have the option to rent and return bicycles or rollerblades at any of the Park Connector Network Pit Stops along this park connector, two of which can be found in East Coast Park C4 and Telok Kurau Park. Siglap Park Connector forms the gateway to the Eastern Coastal Loop, allowing park users to cycle towards Tampines Park Connector and Bedok Park Connector which links up to the rest of the loop.Park Connector Network Pit Stops: 
1. East Coast Park Carpark 4
Address: 1030 East Coast Parkway
Opening Hours:
9am - 10pm (Monday - Friday)
9am - 11pm (Eve of Public Holidays)
8am - 11pm (Saturday)
8am - 10pm (Sunday / Public Holiday)Telok Kurau Park
Address: 151 Lorong J Telok Kurau, Singapore 423466
Opening Hours:
12pm - 7pm (Monday - Friday)
10am - 7pm (Weekend and Public Holidays)","Siglap Park Connector starts from Area C4 in East Coast Park, running across Marine Parade Road, East Coast Road, Changi Road, Sims Avenue East, Bedok North Road before ending at Bedok Reservoir Road.","7.6 km","24 hours daily","7.00pm to 7.00am","Over-head bridge across Bedok North Road has no ramp but cyclists can push their bicycles along the side of the bridge"
"83","Siglap Park Connector","Lengkong Tiga","103.9113","1.324246","Siglap Park Connector runs partly along Siglap Canal and beside several housing estates. It also interlinks the parks in the region such as Bedok Reservoir Park, Bedok Town Park, Telok Kurau Park and East Coast Park. Park users also have the option to rent and return bicycles or rollerblades at any of the Park Connector Network Pit Stops along this park connector, two of which can be found in East Coast Park C4 and Telok Kurau Park. Siglap Park Connector forms the gateway to the Eastern Coastal Loop, allowing park users to cycle towards Tampines Park Connector and Bedok Park Connector which links up to the rest of the loop.Park Connector Network Pit Stops: 
1. East Coast Park Carpark 4
Address: 1030 East Coast Parkway
Opening Hours:
9am - 10pm (Monday - Friday)
9am - 11pm (Eve of Public Holidays)
8am - 11pm (Saturday)
8am - 10pm (Sunday / Public Holiday)Telok Kurau Park
Address: 151 Lorong J Telok Kurau, Singapore 423466
Opening Hours:
12pm - 7pm (Monday - Friday)
10am - 7pm (Weekend and Public Holidays)","Siglap Park Connector starts from Area C4 in East Coast Park, running across Marine Parade Road, East Coast Road, Changi Road, Sims Avenue East, Bedok North Road before ending at Bedok Reservoir Road.","7.6 km","24 hours daily","7.00pm to 7.00am","Over-head bridge across Bedok North Road has no ramp but cyclists can push their bicycles along the side of the bridge"
"84","Bukit Batok Park Connector","Bukit Batok West Ave 3","103.7483","1.352461","The Bukit Batok Park Connector links the Bukit Batok West Park Connector to the Ulu Pandan Park Connector and the Jurong Park Connector, and passes major landmarks in the Bukit Batok area such as Bukit Batok Civil Service Club, Bukit Batok Community Centre and West Mall shopping centre. Visitors travelling along the park connector can stop by to enjoy the facilities at the Bukit Batok Civil Service Club or grab some refreshments at West Mall Shopping Centre. ","The Bukit Batok Park Connector links the Bukit Batok West Park Connector to the Ulu Pandan Park Connector and the Jurong Park Connector. ","2.0 km","24 hours daily","7.00pm to 7.00am",NA
"85","Bukit Batok Park Connector","Bukit Batok West Ave 2","103.7474","1.356565","The Bukit Batok Park Connector links the Bukit Batok West Park Connector to the Ulu Pandan Park Connector and the Jurong Park Connector, and passes major landmarks in the Bukit Batok area such as Bukit Batok Civil Service Club, Bukit Batok Community Centre and West Mall shopping centre. Visitors travelling along the park connector can stop by to enjoy the facilities at the Bukit Batok Civil Service Club or grab some refreshments at West Mall Shopping Centre. ","The Bukit Batok Park Connector links the Bukit Batok West Park Connector to the Ulu Pandan Park Connector and the Jurong Park Connector. ","2.0 km","24 hours daily","7.00pm to 7.00am",NA
"86","Bukit Batok West Park Connector","haracter(0","103.7463","1.359916","The Bukit Batok West Park Connector links the Choa Chu Kang Park Connector and the Bukit Batok East Park Connector to the Bukit Batok Park Connector, and passes through the heartlands of the Bukit Gombak estate. It also serves as a link to the Western Adventure Loop. Through this park connector, avid cyclists can safely commute by bicycle to Bukit Gombak or Bukit Batok MRT Station. ","Bukit Batok Park Connector starts at Bukit Batok West Ave 2, in front of Blk 315, runs along Bukit Batok St 31 before ending at Bukit Batok West Ave 5, right before Bukit Gombak MRT.  ","1.0 km","24 hours daily","7.00pm to 7.00am",NA
"87","Hillview Park Connector","haracter(0","103.7678","1.363282","Running through an array of condominiums lining Hillview Avenue, the Hillview Park Connector extends from Bukit Batok Nature Park to Dairy Farm Nature Reserve. Fitness enthusiasts jogging on the park connector to Bukit Timah Road can drop by the Rail Mall for a breather after their workout. The Hillview Park Connector forms part of the Western Adventure Loop, linking visitors to various park connectors, parks and nature reserves. ","Hillview Park Connector starts at Dairy Farm Rd, right at the exit of the Dairy Farm Carpark. It runs along Hillview Rd & Hillview Ave, before ending at Bukit Batok East Ave 2, at the entrance of Bukit Batok Nature Park.","2.05 km","24 hours daily","7.00pm to 7.00am",NA
"88","Bukit Timah Park Connector","haracter(0","103.7753","1.345268","The Bukit Timah Park Connector links Bukit Timah Nature Reserve to Bukit Batok Nature Park. Nature lovers can look forward to a day of discovery as they explore the many trails and sights at Bukit Timah Nature Reserve, before heading along the Bukit Timah park connector to Bukit Batok Nature Park. The route also takes you past the Old Bukit Timah Fire Station. Upon reaching Bukit Batok Nature Reserve, you can take a break and enjoy the spectacular views of the Quarry. ","Bukit Timah Park Connector starts at Hindhede Drive.  It runs along Upper Bukit Timah Rd and Old Jurong Rd before ending right at Bukit Batok Nature Park.","1.6 km","24 hours daily","7.00pm to 7.00am",NA
"89","Ulu Pandan Park Connector","Bukit Batok East Avenue 2","103.7572","1.351265","Starting from Commonwealth Ave West, Ulu Pandan Park Connector runs through the Ghim Moh estates, Dover MRT station and the Holland Grove estates. Crossing Clementi Road, it links back to cut across the Clementi and Sunset estates, before leading you towards Ayer-Rajah Expressway (AYE). Thereafter, continue to follow the Ulu Pandan Park Connector up north and it will eventually lead you to the Pan Island Expressway (PIE), completing the 7.1KM walk.Keep your eyes and ears peeled for the Red-Capped Woodpeckers, Kingfishers, as well as the White Egrets that might dart into the canal for a drink. Try to catch sight of the tall Grey Heron (Andrea cinerea) that wades slowly in the shallow waters of Sungei Ulu Pandan while using its bill to prey on fish. You might also catch sight of the magnificent Purple Neck Heron perching on the opposite bank of Sungei Ulu Pandan. Certain sections along the Park Connector are covered in lush greenery, providing a rustic charm. During the flowering season of Tabebuia rosea, visitors will be welcomed by the colourful sight of flowering trees such as Callerya atropurpurea and Saraca thaipingensis, which features yellow flower blooms on its tree trunk and branches.","Ulu Pandan Park Connector starts at Commonwealth Ave West and runs along the Sungei Ulu Pandan Canal before ending at Pan Island Expressway.","7.1 km","24 hours daily","7.00pm to 7.00am","Wheelchairs able to access from the Elevated PC at International Business Park, Wheelchair users are able to access from the Ghim Moh Link estate. By MRT Alight at Buona Vista Station Exit C or Dover Station"
"90","Loyang Park Connector","Loyang Avenue","103.9801","1.386962","Beginning at the junction of Loyang Avenue and Pasir Ris Dr 3, the Loyang Park Connector runs along Loyang Avenue before passing by Loyang Industrial Park and the SIA Engine Test Centre and ending at Changi Village. You can rent a bicycle or a pair of in-line roller blades at the nearest available Park Connector Network Pit Stop, which is next to Changi Beach Park Car Park 7.","Loyang Park Connector starts the junction of Loyang Avenue and Pasir Ris Drive 3 and runs along Loyang Avenue, Cranwell Road and Netheravon Road before ending at Changi Village Road.","3.5 km","24 hours daily","7.00pm to 7.00am",NA
"91","Alexandra Garden Trail","Malan Road","103.8029","1.277655","Stretching from Depot Road to West Coast Highway, the 1 km Alexandra Garden Trail links Hort Park, the Southern Ridges and Labrador Park. Featuring a variety of flowering plants and foliage and more than 10 species of butterfly host and nectar plants, the Alexandra Garden Trail offers visitors scenic views and lush greenery. ","Alexandra Garden Trail starts at Depot Road and runs along Alexandra Road before ending at West Coast Highway.","1.0 km","24 hours daily","7.00pm to 7.00am",NA
"92","Mandai Park Connector","Mandai Road","103.7789","1.410591","Running alongside the beautiful Central Catchment Nature Reserve, the 5-kilometre-long Mandai Connector links the Ulu Sembawang Park Connector to the Khatib Bongsu Park Connector. It also joins one of Singapore’s five gazetted Heritage Roads, Mandai Road, (starting opposite Upper Seletar Reservoir Park Carpark and ending at the junction of Mandai Avenue).","Mandai Park Connector starts at Lentor Ave and runs along Yishun Ave 1/Mandai Ave/ Mandai Road before ending at Junction of Mandai Lake Road","5.0 km","24 hours daily","7.00pm to 7.00am","Wheelchair friendly"
"93","Central Catchment Park Connector","Mandai Road","103.7784","1.410528",NA,"The Central Catchment Park Connector starts at Mandai Road before ending at Gangsa Trail.","1.9 km","24 hours daily","7.00am - 7.00pm","Not wheelchair accessible "
"94","Tampines Park Connector","Tampines Avenue 7","103.9455","1.356943","Linking Bedok Reservoir Park to Pasir Ris Park, Tampines Park Connector runs along housing estates in Tampines Avenue 1 and 2, providing residents convenient access to the nearby parks. It also allows users to travel to Pasir Ris Town Park via Sungei Tampines, the natural habitat of water birds such as the Common Kingfisher.The Tampines Park Connector also runs under the viaduct of Tampines and Simei MRT stations, allowing park users to travel to Simei estate.Park Connector Network Pit Stops: ","Tampines Park Connector starts at Bedok Reservoir Road and runs along Tampines Avenue 1, Tampines Avenue 2, Tampines Ave 4, along Tampines Ave 9 and across the TPE overhead bridges, Pasir Ris Drive 1 before it ends at Pasir Ris Drive 3.","7.0 km","24 hours daily","7.00pm to 7.00am","Eastern"
"95","Serangoon Park Connector","Tampines Road","103.8955","1.361967","Running along Serangoon Reservoir and Sg Pinang, the Serangoon Park Connector is a popular recreational corridor amongst residents living in the vicinity. An established route to Punggol Park, it joins directly to Sungei Serangoon Park Connector via a footbridge across Sg Pinang. Nature lovers will delight in the high biodiversity found here, including the Grey Heron, Little Egret, and conspicuous Collared and White-throated Kingfisher.","Serangoon Park Connector starts at Tampines Road and runs along Hougang Ave 7 and Buangkok Drive before ending at the junction of Sengkang East Road and Buangkok Green.","4.2 km","24 hours daily","7.00pm to 7.00am",NA
"96","Coastal Park Connector","Tanah Merah Coast Road","103.9844","1.318770","Coastal Park Connector starts from Changi Beach Park Car Park 7 and ends at East Coast Park. This 15km park connector runs along Aviation Park Road and Tanah Merah Coast Road, alongside the future Changi Airport Runway 3 and Terminal 5.At the East Coast Park towards Coastal Park Connector next to Changi Coast Walk, you can take a leisurely stroll amidst the lush greenery whilst enjoying the cool sea breeze.The Changi Airport Connector (link: https://www.changiairport.com/en/discover/changi-airport-connector.html) is a cycling and jogging path that features the Changi Jurassic Mile. It was opened by Changi Airport, and links the airport to East Coast Park and the Park Connector Network. ","Coastal Park Connector starts from Changi Beach Park Car Park 7 and runs along Aviation Park Road and Tanah Merah Coast Road before ending at East Coast Park","15.0 km","24 hours daily","7.00pm to 7.00am",NA
"97","Alexandra Canal Linear Park","Tanglin Road","103.8157","1.292522","Built on top of a covered canal, Alexandra Canal Linear Park is a unique park connector linking Commonwealth Ave to Tanglin Road. It starts from Queenstown MRT Station and runs along Strathmore Estate before ending at Tanglin Road, where it leads to Alexandra Park Connector. Besides offering seamless connectivity, Alexandra Canal Linear Park features a vast array of fitness and play equipment for all ages, providing endless fun for the young and old. Avid skaters can also look forward to challenging themselves at the skate corner, which includes ramps and railings. ","Alexandra Canal Linear Park starts at Commonwealth Ave and runs along Strathmore Estate before ending at Tanglin Road.","1.4 km","24 hours daily","7.00pm to 7.00am","Entry to PC from Commonwealth Ave is not accessible to wheelchairs "
"98","Alexandra Park Connector","Tanglin Road Near Tanglin Regency","103.8157","1.292512","A continuation of Alexandra Canal Linear Park, the Alexandra Park Connector stretches from Tanglin Road to Zion Road. This urban Park Connector passes by various condominiums, giving users stunning views of the surrounding high-rise buildings and fantastic architectural details. Visitors using the Park Connector can stop by Valley Point Shopping Centre, which is located along Delta Road, to rest their feet and settle down with a nice drink or to just pick up a quick meal. 
Alternatively, drop by Great World City Shopping Centre and Zion Riverside Food Centre at the end of the Park Connector. Kim Seng Promenade is yet another option, located behind Great World City Shopping Centre.","Alexandra Park Connector starts at Tanglin Road and runs along Alexandra Canal before ending at Zion Road.","1.7 km","24 hours daily","7.00pm to 7.00am","Alexandra Park Connector (From Tanglin Road to Delta Road stretch) not accessible to inline-skaters"
"99","Punggol Promenade Riverside Walk","Tebing Lane","103.9216","1.397068","The lookout points along Punggol Promenade Riverside Walk allow visitors to get closer to the adjacent Serangoon Reservoir. Linking Punggol Point to Punggol East, Punggol Promenade is a waterfront recreational destination for residents in this region and provides access to the rustic northeastern coastline. Consisting of three thematic zones – Riverside Walk, Nature Walk and Punggol Point Walk – every segment of the Punggol Promenade is unique and offers a variety of recreational experiences. There is even a cluster of food and beverage outlets at Tebing Lane, located adjacent to the riverside walk.",NA,NA,NA,NA,NA
"100","Pang Sua Park Connector","Teck Whye Walk","103.7555","1.384261","Starting from Zhenghua Park, the Pang Sua Park Connector runs along Bukit Panjang and joins Bukit Panjang Park along the way. Passing Ten Mile Junction and Bukit Panjang Plaza along Jalan Teck Whye, it turns in towards the housing estates and Sungei Pang Sua. The park connector then continues along the canal, before connecting to Villa Verde Park.Pang Sua Park Connector forms part of the Western Adventure Loop, linking various park connectors, parks and nature reserves. ","Pang Sua Park Connector starts at Bukit Panjang Rd. It runs along the Pang Sua canal and ends at Choa Chu Kang Way.","6.0 km","24 hours daily","7.00pm to 7.00am",NA
"101","Alexandra Garden Trail","Telok Blangah Road","103.8024","1.272978","Stretching from Depot Road to West Coast Highway, the 1 km Alexandra Garden Trail links Hort Park, the Southern Ridges and Labrador Park. Featuring a variety of flowering plants and foliage and more than 10 species of butterfly host and nectar plants, the Alexandra Garden Trail offers visitors scenic views and lush greenery. ","Alexandra Garden Trail starts at Depot Road and runs along Alexandra Road before ending at West Coast Highway.","1.0 km","24 hours daily","7.00pm to 7.00am",NA
"102","Woodlands Park Connector","Woodlands Ave 5 Near Woodlands Avenue 5 Neighborhood Park","103.7833","1.435003","Running along the side of the SLE, the Woodlands (SLE) Park Connector links the Woodlands (Ave 2) Park Connector to the Ulu Sembawang Park Connector. With “green-roof” shelters and drinking fountains placed along the park connector, visitors can take a breather and enjoy the beauty of the nearby nature reserve.","Woodlands (SLE) Park Connector starts at the end of Woodlands Ave 2 and runs along the side of SLE before ending at the start of Woodlands Ave 12 from SLE","1.1 km","24 hours daily","7.00pm to 7.00am","Wheelchair friendly"
"103","Woodlands Park Connector","Woodlands Ave 7 Near 3M Innovation Centre","103.8115","1.447235","Running along the side of the SLE, the Woodlands (SLE) Park Connector links the Woodlands (Ave 2) Park Connector to the Ulu Sembawang Park Connector. With “green-roof” shelters and drinking fountains placed along the park connector, visitors can take a breather and enjoy the beauty of the nearby nature reserve.","Woodlands (SLE) Park Connector starts at the end of Woodlands Ave 2 and runs along the side of SLE before ending at the start of Woodlands Ave 12 from SLE","1.1 km","24 hours daily","7.00pm to 7.00am","Wheelchair friendly"
"104","Woodlands Park Connector","Woodlands Ave 7 Near Block 689C Woodlands Avenue 7","103.8084","1.445651","Running along the side of the SLE, the Woodlands (SLE) Park Connector links the Woodlands (Ave 2) Park Connector to the Ulu Sembawang Park Connector. With “green-roof” shelters and drinking fountains placed along the park connector, visitors can take a breather and enjoy the beauty of the nearby nature reserve.","Woodlands (SLE) Park Connector starts at the end of Woodlands Ave 2 and runs along the side of SLE before ending at the start of Woodlands Ave 12 from SLE","1.1 km","24 hours daily","7.00pm to 7.00am","Wheelchair friendly"
"105","Woodlands Park Connector","Woodlands Ave 7 Opp. NorthOaks Condo","103.8064","1.443441","Running along the side of the SLE, the Woodlands (SLE) Park Connector links the Woodlands (Ave 2) Park Connector to the Ulu Sembawang Park Connector. With “green-roof” shelters and drinking fountains placed along the park connector, visitors can take a breather and enjoy the beauty of the nearby nature reserve.","Woodlands (SLE) Park Connector starts at the end of Woodlands Ave 2 and runs along the side of SLE before ending at the start of Woodlands Ave 12 from SLE","1.1 km","24 hours daily","7.00pm to 7.00am","Wheelchair friendly"
"106","Woodlands Park Connector","Woodlands Ave 7 Opp. Woodsvale Condo","103.8048","1.442575","Running along the side of the SLE, the Woodlands (SLE) Park Connector links the Woodlands (Ave 2) Park Connector to the Ulu Sembawang Park Connector. With “green-roof” shelters and drinking fountains placed along the park connector, visitors can take a breather and enjoy the beauty of the nearby nature reserve.","Woodlands (SLE) Park Connector starts at the end of Woodlands Ave 2 and runs along the side of SLE before ending at the start of Woodlands Ave 12 from SLE","1.1 km","24 hours daily","7.00pm to 7.00am","Wheelchair friendly"
"107","Woodlands Park Connector","Woodlands Ave 7 Near Admiralty MRT Access 2","103.8008","1.440741","Running along the side of the SLE, the Woodlands (SLE) Park Connector links the Woodlands (Ave 2) Park Connector to the Ulu Sembawang Park Connector. With “green-roof” shelters and drinking fountains placed along the park connector, visitors can take a breather and enjoy the beauty of the nearby nature reserve.","Woodlands (SLE) Park Connector starts at the end of Woodlands Ave 2 and runs along the side of SLE before ending at the start of Woodlands Ave 12 from SLE","1.1 km","24 hours daily","7.00pm to 7.00am","Wheelchair friendly"
"108","Woodlands Park Connector","Woodlands Ave 7 Near Admiralty MRT Access 3","103.7999","1.440369","Running along the side of the SLE, the Woodlands (SLE) Park Connector links the Woodlands (Ave 2) Park Connector to the Ulu Sembawang Park Connector. With “green-roof” shelters and drinking fountains placed along the park connector, visitors can take a breather and enjoy the beauty of the nearby nature reserve.","Woodlands (SLE) Park Connector starts at the end of Woodlands Ave 2 and runs along the side of SLE before ending at the start of Woodlands Ave 12 from SLE","1.1 km","24 hours daily","7.00pm to 7.00am","Wheelchair friendly"
